Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,Automation_Probability,Cluster
3.0,3.88,3.38,3.25,3.88,2.0,1.88,1.0,3.0,3.5,2.88,1.62,1.62,2.5,2.62,3.38,2.88,2.88,2.38,3.0,3.38,1.5,2.5,3.62,2.0,2.75,3.12,3.38,3.75,3.12,3.0,1.75,3.0,2.25,3.12,0.08,0
3.38,4.0,3.5,4.0,3.88,1.0,1.38,1.0,3.88,3.12,3.38,1.88,2.0,2.75,2.0,3.38,3.12,1.75,2.75,1.75,3.38,1.5,1.88,3.88,1.0,2.0,4.12,4.0,4.0,3.0,3.0,1.88,3.25,1.5,3.88,0.0,2
3.62,3.5,3.0,2.62,3.88,1.0,1.0,1.0,2.12,3.12,2.38,2.0,1.75,2.0,3.38,3.0,2.38,1.25,2.5,1.75,2.38,1.62,1.62,3.62,1.0,1.38,3.0,3.0,3.62,2.75,2.75,1.0,3.0,1.0,3.12,0.98,3
2.12,3.12,2.75,3.12,2.75,2.5,2.62,1.88,2.12,2.38,2.12,1.5,1.62,2.0,2.0,2.62,2.0,3.12,1.62,3.0,2.0,1.0,2.12,2.75,2.25,1.5,2.12,2.62,3.25,1.88,2.0,1.5,2.5,2.25,2.25,0.88,1
2.75,3.0,2.88,2.62,3.0,2.0,1.62,1.12,2.5,2.62,2.38,1.88,1.88,2.12,2.38,2.88,2.38,2.88,1.5,2.88,2.5,1.88,2.38,3.0,2.0,1.12,3.0,2.75,3.0,2.0,2.0,1.5,3.0,2.5,2.62,0.85,1
3.12,3.44,3.5,3.0,3.75,3.5,3.12,3.12,2.88,3.25,2.94,1.75,1.88,2.62,2.94,3.44,2.19,3.44,2.25,3.88,2.25,2.69,3.62,3.56,3.88,2.75,2.56,2.88,3.18,3.12,3.12,2.44,3.06,3.94,3.18,0.81,0
2.75,3.0,3.12,2.5,3.0,2.62,2.75,1.12,2.12,2.88,2.12,2.38,2.25,2.12,3.0,3.12,1.75,3.12,2.88,3.12,1.88,1.62,3.0,3.12,2.25,1.75,2.12,2.88,2.88,2.25,2.25,1.88,2.88,2.38,2.62,0.91,1
2.38,3.12,3.12,2.5,3.38,3.88,3.12,1.62,1.88,3.12,2.0,1.75,2.0,1.88,2.25,2.88,1.88,3.62,1.5,3.5,2.0,1.62,3.12,2.75,4.0,2.0,2.62,2.62,3.0,2.25,2.25,1.88,2.75,3.75,2.5,0.66,1
2.75,3.75,2.88,2.88,3.38,1.0,1.0,1.0,2.25,3.25,2.62,1.38,1.5,2.25,2.75,2.88,2.62,1.12,1.25,1.38,2.75,1.38,1.5,3.75,1.0,1.25,3.0,3.12,3.5,2.12,2.12,1.25,3.0,1.0,4.0,0.86,3
3.62,3.75,3.5,3.0,4.0,1.12,1.0,1.0,3.12,3.62,3.12,1.62,1.75,2.5,3.0,3.0,2.75,1.12,2.5,1.62,2.62,1.88,1.38,4.12,1.0,3.38,3.0,3.0,4.0,3.38,3.12,1.75,3.0,1.0,4.12,0.25,2
2.12,2.88,2.5,2.75,2.88,2.25,1.88,1.0,2.12,2.62,2.25,1.25,1.38,2.25,2.0,2.88,2.0,3.25,1.38,3.12,2.0,1.12,2.5,2.75,1.75,1.5,2.12,2.75,2.88,2.0,2.0,1.0,2.88,2.25,2.25,0.81,1
2.62,3.0,2.25,2.75,2.75,2.0,2.0,1.0,2.12,2.38,2.12,1.38,1.5,2.12,1.38,2.75,2.0,2.0,1.12,2.25,2.12,1.25,2.0,2.5,2.0,1.0,2.5,2.62,3.0,2.0,1.88,1.25,2.75,2.12,2.38,0.66,1
3.0,3.12,3.25,3.12,3.5,2.38,2.75,2.5,2.88,3.0,2.75,1.88,2.0,2.88,2.0,3.75,2.5,3.0,2.12,3.5,2.62,2.0,2.88,3.5,2.25,1.0,3.12,3.0,3.12,3.0,2.88,2.0,3.0,2.75,3.12,0.55,0
3.0,3.0,3.12,2.88,3.0,3.12,3.0,1.88,2.5,3.0,2.0,1.75,1.88,1.88,2.0,2.88,2.5,3.12,1.62,3.12,2.5,1.5,3.12,3.0,4.0,1.62,3.0,2.75,3.0,2.88,2.88,1.62,2.88,3.62,2.62,0.59,1
2.12,2.75,2.75,2.5,2.75,2.0,1.5,1.0,2.0,2.75,2.12,1.75,1.75,1.75,2.0,3.12,1.75,2.62,1.62,2.75,1.75,1.0,2.75,2.62,1.88,1.0,1.75,2.38,2.12,1.88,1.88,1.0,2.75,2.12,2.0,0.89,1
2.25,3.0,2.88,2.75,2.88,3.12,2.75,1.12,2.25,2.88,2.25,1.75,1.88,2.25,2.38,3.0,2.25,4.0,1.5,3.75,2.38,1.0,3.0,2.5,2.88,1.5,2.25,2.75,2.75,2.38,2.25,1.25,2.88,3.0,2.75,0.79,1
2.25,2.88,2.38,2.75,2.75,1.0,1.0,1.0,1.88,2.75,1.88,1.38,1.5,1.62,1.62,2.88,2.12,1.0,1.25,1.62,2.12,1.0,1.25,2.25,1.0,1.0,2.75,3.0,3.12,1.88,1.75,1.0,2.0,1.38,2.0,0.49,3
4.0,4.12,3.62,3.12,4.0,1.0,1.0,1.0,3.62,3.62,3.88,1.62,1.75,2.88,2.88,3.5,2.75,1.0,2.38,1.38,2.88,1.75,1.12,4.0,1.0,3.12,3.0,3.88,4.12,3.12,3.12,1.62,3.0,1.0,4.0,0.06,2
3.12,4.0,2.88,3.38,3.25,1.0,1.12,1.0,2.88,3.12,2.88,1.88,2.0,2.38,2.75,3.12,3.0,1.25,1.5,1.75,2.88,1.88,2.12,4.0,1.12,1.38,3.75,3.25,3.88,2.75,2.62,1.75,3.25,1.0,3.75,0.86,2
2.88,3.5,2.88,3.0,3.25,1.62,1.62,1.0,2.88,2.88,2.12,2.0,2.25,2.12,2.75,3.12,2.12,2.0,1.88,2.12,2.12,1.25,2.12,3.12,1.62,2.62,3.12,3.0,3.0,2.0,2.12,1.75,3.0,2.0,3.12,0.86,3
3.75,4.0,4.0,3.88,4.0,1.0,2.0,1.0,3.25,3.75,3.25,2.0,2.25,3.12,2.12,4.0,3.0,2.25,3.0,2.5,3.25,1.38,2.38,3.88,1.0,3.38,3.38,3.88,4.0,3.0,2.75,2.0,3.75,2.0,3.38,0.02,2
3.12,3.88,3.12,3.0,3.75,2.5,2.0,1.0,3.0,3.25,2.88,1.75,1.88,2.5,2.62,3.75,2.62,3.12,1.62,3.75,2.75,1.62,2.75,3.62,2.25,3.0,3.25,3.62,3.75,2.38,2.25,1.75,3.0,2.5,3.12,0.23,0
2.12,2.88,2.12,2.88,2.75,1.5,1.62,1.0,2.12,2.5,2.0,1.5,1.62,2.12,1.88,2.88,2.0,1.5,1.62,2.12,2.0,1.0,2.12,2.75,1.38,1.0,2.38,2.88,2.75,2.0,2.0,1.5,2.62,2.0,2.25,0.92,3
2.75,4.0,2.88,3.0,3.0,1.0,1.0,1.0,2.12,2.75,2.25,1.25,1.0,2.12,2.12,3.0,2.12,1.0,1.25,2.0,2.38,1.38,2.0,4.0,1.0,1.0,3.0,3.0,3.75,2.0,2.0,1.38,3.25,1.25,3.88,0.98,3
3.12,4.12,3.38,3.38,4.12,1.0,1.0,1.0,3.25,3.38,3.12,2.12,2.12,3.12,3.0,3.25,3.0,2.25,2.12,2.12,3.25,1.88,2.5,4.12,1.0,3.75,3.25,3.88,4.0,3.0,3.0,1.88,3.25,2.0,4.0,0.14,2
3.44,3.92,3.6,3.68,3.94,1.21,1.33,1.0,3.25,3.69,3.04,2.56,2.48,3.21,2.81,3.77,3.27,1.81,2.33,2.42,3.39,1.75,2.33,3.98,1.19,1.92,3.02,3.48,3.94,3.36,3.37,1.77,3.44,1.75,3.9,0.25,2
2.38,2.88,2.62,2.25,2.88,2.0,2.0,1.0,2.12,2.62,2.0,1.75,1.75,2.0,2.0,3.0,2.0,2.62,1.62,3.0,2.0,1.0,2.38,2.25,2.0,1.25,2.0,2.25,2.62,2.0,1.88,1.38,2.88,2.12,2.0,0.67,1
3.82,4.44,4.06,3.38,4.25,1.0,1.0,1.0,3.38,4.18,3.5,1.88,1.82,2.82,2.81,3.62,3.0,1.06,1.69,1.94,3.32,1.82,1.82,4.31,1.0,3.12,3.68,4.12,4.12,3.18,3.0,1.68,3.25,1.38,4.13,0.0,2
3.12,3.38,3.0,2.75,3.62,1.12,1.0,1.0,2.25,3.0,2.5,1.88,2.0,2.12,2.88,2.88,2.88,1.25,1.5,1.88,2.88,1.62,2.12,3.88,1.12,1.38,2.88,2.88,3.38,2.5,2.5,1.25,3.0,1.62,3.5,0.9,3
2.25,3.0,2.75,2.75,3.0,2.38,2.12,2.0,2.25,2.62,2.12,1.75,2.12,2.38,2.0,2.88,2.25,2.75,1.0,2.88,2.25,1.0,2.88,2.5,2.88,1.0,3.0,2.75,3.0,2.0,2.0,1.38,3.0,2.88,2.25,0.7,1
2.75,3.0,3.0,3.0,3.25,3.25,3.0,1.88,2.75,2.88,2.25,1.75,1.88,2.38,2.25,3.12,2.25,3.88,1.88,4.0,2.38,1.0,3.0,2.75,2.88,1.62,2.38,2.62,3.0,2.25,2.12,1.88,2.88,3.0,2.38,0.85,1
3.12,3.88,3.12,3.75,3.75,2.25,2.25,1.38,3.25,3.25,3.12,2.25,2.88,3.88,2.88,4.0,2.88,3.0,2.12,3.0,3.12,1.62,3.12,3.12,2.12,1.62,3.12,3.25,3.75,2.88,2.88,1.88,4.0,2.25,3.0,0.57,0
3.88,4.38,3.75,3.12,4.0,1.0,1.0,1.0,2.88,3.62,2.88,1.38,1.25,2.0,2.12,2.88,4.62,1.12,1.5,1.38,3.75,1.62,1.0,4.12,1.0,1.25,3.0,3.75,4.12,2.62,2.5,1.25,2.88,1.0,4.25,0.06,2
3.25,4.12,3.75,3.25,4.0,1.0,1.0,1.0,3.0,4.12,3.0,2.5,2.25,3.0,3.0,3.0,3.38,1.38,3.12,1.75,3.12,1.75,1.62,4.0,1.0,2.62,3.25,3.62,4.12,4.0,3.75,1.62,3.25,1.0,3.88,0.13,2
2.38,3.0,2.0,2.75,2.62,1.0,1.0,1.0,2.12,2.38,2.0,1.62,1.5,2.0,2.0,2.62,2.12,1.75,1.25,2.12,2.25,1.0,1.75,2.62,1.0,1.0,3.0,2.75,2.75,2.0,2.0,1.25,2.5,1.0,2.0,0.81,3
2.75,3.5,3.12,2.88,3.5,1.12,1.12,1.0,2.5,3.0,2.38,1.62,1.62,2.0,2.62,2.88,2.62,1.88,1.75,1.88,2.75,1.62,2.12,3.62,1.12,1.12,2.75,2.75,3.38,2.5,2.5,1.38,2.75,1.62,3.38,0.9,3
3.12,3.12,3.12,3.0,3.62,4.0,3.12,2.62,2.62,3.12,2.62,1.62,1.75,2.62,2.38,3.12,1.88,4.0,1.88,4.0,2.12,1.75,3.75,2.88,4.0,1.75,2.25,2.75,3.0,2.88,2.88,2.0,3.0,4.0,2.75,0.67,1
3.0,3.75,3.0,3.88,3.12,1.38,1.25,1.0,3.75,3.0,3.12,2.88,3.0,4.0,3.0,3.88,3.12,2.0,1.75,2.38,3.0,1.25,2.88,3.25,1.38,1.0,3.62,3.12,3.88,3.0,3.0,1.5,3.12,2.0,3.0,0.63,2
2.38,3.12,2.88,2.88,3.25,1.75,2.0,1.0,2.0,3.12,2.0,1.75,1.88,2.12,2.62,3.0,2.12,2.88,2.0,3.0,2.25,1.5,3.75,3.12,1.62,1.62,2.38,2.88,3.12,2.12,2.12,1.62,3.0,2.25,3.25,0.98,1
3.0,3.75,3.12,3.25,3.5,2.75,2.62,1.0,3.0,2.88,2.88,2.0,2.12,2.88,2.75,3.25,2.62,3.12,2.62,3.38,2.62,1.75,2.88,3.75,2.25,2.75,3.25,3.38,3.25,2.62,2.62,1.88,3.12,2.88,3.12,0.34,0
2.88,3.62,3.0,2.88,3.62,3.38,3.38,2.5,2.75,2.88,2.75,1.88,2.0,2.5,2.12,2.88,2.88,2.62,1.62,2.75,2.88,1.12,3.25,3.0,3.88,1.25,3.38,3.25,3.38,2.5,2.38,1.88,2.75,3.62,2.88,0.94,1
2.62,3.0,2.75,3.0,2.75,2.25,2.12,1.0,2.12,2.62,2.12,1.38,1.62,1.88,2.0,2.88,2.0,3.12,1.38,2.88,2.12,1.0,2.62,2.62,2.12,1.12,2.5,2.38,2.75,2.0,2.0,1.38,2.88,2.12,2.12,0.87,1
3.5,3.88,4.12,3.5,4.0,1.0,2.25,1.0,3.12,4.0,3.12,2.88,3.0,3.0,3.75,3.75,2.88,2.0,3.12,3.0,2.88,2.62,2.88,4.0,1.0,3.5,2.62,2.88,4.0,3.75,3.75,2.5,3.38,1.88,4.0,0.14,2
2.75,3.75,2.75,3.0,3.12,1.62,1.62,1.0,2.5,2.88,2.12,2.0,2.12,2.38,2.25,3.0,2.88,2.0,1.0,2.38,2.88,1.38,1.62,3.25,1.62,1.0,3.38,3.12,3.38,2.0,2.0,1.62,3.0,1.62,3.0,0.97,3
2.88,3.25,3.12,2.88,3.38,2.75,2.25,3.38,2.62,3.12,2.38,1.75,1.88,2.12,2.12,3.0,2.0,2.88,1.88,3.12,2.12,1.75,3.12,3.12,3.0,1.75,2.88,2.88,3.38,2.62,2.62,1.88,3.0,3.0,2.88,0.82,1
2.62,3.12,2.5,3.0,2.75,1.0,1.0,1.0,1.62,2.38,1.62,1.0,1.0,2.38,1.88,2.75,2.88,1.62,1.25,2.0,2.88,1.38,2.0,2.75,1.0,1.0,3.25,3.38,3.25,2.0,2.0,1.0,2.5,1.88,2.25,0.96,3
3.0,3.0,3.0,2.75,3.25,2.25,2.38,1.0,2.75,3.12,2.88,1.88,1.88,2.38,2.0,3.0,2.38,2.75,1.75,3.12,2.38,1.25,2.88,3.38,2.25,2.12,2.38,2.88,3.0,2.25,2.0,1.88,3.25,2.25,2.88,0.97,1
3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,2.38,1.75,1.88,2.88,2.25,3.12,2.38,4.12,2.0,3.62,3.0,1.0,2.75,3.0,3.0,1.0,2.5,3.0,3.0,2.25,2.25,1.88,3.0,3.0,2.5,0.94,1
2.38,3.12,3.0,3.0,3.0,2.0,2.12,1.5,2.62,2.75,2.12,1.5,2.0,2.25,3.0,2.75,2.38,2.25,1.75,2.5,2.25,1.0,2.62,2.88,2.0,1.12,2.62,2.5,3.0,2.12,2.0,1.62,3.0,2.0,2.0,0.75,1
3.37,3.94,3.69,3.75,4.0,2.06,2.12,1.06,3.32,3.81,3.19,3.06,3.0,3.62,2.62,3.88,3.19,2.12,2.06,2.56,3.25,1.62,2.69,3.94,2.0,1.44,3.19,3.81,3.94,3.12,3.19,1.62,3.44,2.31,3.5,0.73,2
2.25,3.25,2.5,2.75,2.88,1.5,1.25,1.0,2.38,2.75,2.12,1.62,1.75,2.12,2.75,2.75,2.38,2.62,1.25,2.25,2.25,1.0,1.62,2.5,1.25,1.0,3.38,3.0,3.5,1.88,2.0,1.0,2.38,1.62,2.75,0.87,3
3.66,3.97,3.84,3.22,3.94,1.0,1.1,1.03,3.03,3.5,3.06,2.18,2.18,2.94,3.22,3.4,2.94,1.53,2.5,2.22,3.03,2.03,2.06,4.06,1.0,3.44,2.97,3.18,3.94,3.47,3.38,1.91,3.16,1.4,3.94,0.03,2
3.38,3.88,3.12,3.25,3.5,2.62,2.25,1.0,3.0,3.12,3.0,1.75,1.88,2.75,2.12,3.5,2.5,3.12,2.0,3.12,3.0,1.25,2.75,3.75,2.12,3.25,3.12,3.75,3.75,2.38,2.12,2.0,3.38,2.25,3.25,0.35,0
2.75,2.88,3.0,2.88,3.0,2.0,2.75,1.62,2.38,3.0,2.12,1.5,1.5,1.88,3.12,3.0,1.88,2.88,2.25,3.0,2.12,1.12,3.0,3.0,2.0,1.25,2.0,2.75,2.88,2.12,2.12,1.62,2.75,2.12,2.5,0.84,1
2.0,2.75,2.0,2.5,2.5,1.88,1.62,1.0,2.0,2.5,2.0,1.75,1.88,1.88,2.12,3.0,1.88,2.62,1.25,3.38,2.0,1.0,2.75,2.75,1.75,1.25,2.0,2.5,2.75,1.62,2.0,1.0,2.5,2.75,2.38,0.93,1
3.88,3.25,4.0,3.0,4.12,1.0,1.88,1.0,3.0,3.88,2.88,2.38,2.5,2.75,3.75,3.12,2.88,2.0,3.62,3.0,2.88,2.25,3.0,4.0,1.0,4.12,2.75,3.0,3.5,3.88,3.88,2.88,3.0,2.88,3.12,0.02,0
3.62,3.88,3.62,3.25,4.0,1.88,1.5,1.0,3.0,3.88,3.12,1.62,1.88,2.88,2.75,4.12,2.12,4.75,1.62,4.38,2.88,1.5,2.62,3.75,1.88,2.62,2.88,3.0,3.75,3.12,3.0,1.5,3.0,3.12,3.0,0.55,0
2.38,3.0,2.62,2.5,3.0,2.62,2.25,1.0,2.25,2.88,2.25,1.88,1.88,2.12,2.0,3.12,2.0,3.0,1.88,3.12,2.12,1.62,3.0,3.12,2.12,1.12,2.25,2.75,3.0,2.0,2.0,2.12,2.75,2.62,2.25,0.98,1
2.25,3.0,2.19,2.81,2.62,2.13,2.0,1.0,2.18,2.5,2.06,1.38,1.82,2.18,1.94,2.94,1.94,2.94,1.18,2.87,2.0,1.0,2.38,2.68,2.06,1.06,2.25,2.5,2.75,1.94,1.94,1.38,2.62,2.25,2.32,0.85,1
1.88,2.62,1.88,2.75,2.5,2.0,1.5,1.0,2.0,2.25,2.0,1.5,1.5,1.88,1.5,2.5,1.88,2.88,1.0,2.5,1.88,1.0,2.38,2.0,1.88,1.0,2.12,2.5,2.5,1.88,1.88,1.0,2.62,2.0,1.75,0.77,1
3.0,3.38,3.38,3.12,3.25,2.88,2.75,1.62,2.75,3.12,2.75,1.75,1.88,2.75,2.38,3.62,1.88,3.75,1.38,3.62,2.38,1.25,3.12,3.12,2.88,1.5,2.62,2.62,3.5,2.75,2.75,1.25,3.12,3.12,2.88,0.91,1
3.75,4.0,3.25,3.12,3.88,1.25,1.62,1.0,3.62,3.88,3.12,1.88,1.88,2.88,2.12,3.88,2.75,2.0,2.12,2.75,3.0,1.25,2.75,3.75,1.0,2.38,3.62,3.75,3.88,2.88,2.88,1.88,3.25,2.0,3.5,0.01,2
3.0,3.25,2.75,3.0,3.5,2.75,2.0,2.12,2.12,3.0,2.75,1.75,2.62,2.0,2.25,3.38,1.75,2.88,1.38,3.25,2.0,1.62,3.38,3.12,2.38,1.88,2.75,2.75,3.12,2.5,2.12,1.5,3.0,3.12,2.88,0.78,1
3.88,4.0,4.12,3.12,4.0,1.0,1.0,1.0,3.0,3.88,3.0,1.88,1.88,2.62,4.5,2.88,2.12,1.12,3.75,1.88,2.88,2.62,1.88,4.0,1.0,3.25,2.75,2.88,4.0,3.88,3.88,1.75,3.12,1.25,4.0,0.04,2
4.0,5.0,4.12,3.0,4.88,1.0,1.0,1.0,3.0,4.25,2.75,1.62,1.62,2.88,2.12,3.88,3.25,1.0,2.38,1.25,3.0,1.25,1.0,4.25,1.0,1.75,3.0,4.0,4.12,3.0,2.88,1.75,3.38,1.0,4.12,0.4,2
3.75,3.88,3.12,3.0,3.88,2.38,2.5,1.0,2.88,3.25,3.0,2.12,2.38,3.0,3.0,3.38,2.88,2.88,2.75,3.0,2.88,2.12,3.12,3.88,2.38,3.38,2.75,3.0,3.38,3.0,2.88,2.0,3.12,2.75,3.12,0.25,0
3.38,4.0,3.75,3.75,4.12,1.38,1.88,1.0,3.12,3.88,3.25,3.0,2.75,3.62,3.12,3.88,3.0,2.0,3.12,2.88,3.12,2.75,2.75,4.0,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75,0.04,2
3.75,4.0,3.12,3.88,4.0,1.0,1.5,1.0,4.25,3.75,4.25,1.12,1.75,2.62,2.75,4.0,3.0,1.12,2.12,1.88,3.12,1.75,1.75,3.88,1.0,2.0,3.88,4.0,4.12,3.0,3.0,1.88,3.75,1.0,3.88,0.0,2
2.75,3.0,2.88,2.75,3.0,2.75,2.5,1.12,2.12,3.0,2.0,2.12,2.25,2.5,2.5,3.0,2.25,3.25,1.62,3.12,2.25,1.75,2.75,3.12,2.62,1.0,2.75,2.88,3.0,2.62,2.12,1.75,3.0,2.75,2.88,0.92,1
2.62,2.88,2.62,3.0,3.0,2.88,2.5,1.62,2.0,2.88,2.25,1.5,1.5,1.88,2.0,3.25,1.88,3.38,1.5,3.62,1.88,1.0,2.75,2.5,3.0,1.12,2.0,2.5,2.88,2.12,2.12,1.62,2.75,3.0,1.88,0.83,1
3.06,3.38,3.32,2.94,3.5,2.12,2.0,1.31,2.62,3.19,2.75,1.69,1.93,2.25,3.25,3.56,2.44,2.56,2.0,3.0,2.38,2.25,3.44,3.62,1.88,2.68,2.62,2.94,3.31,3.19,2.88,1.75,2.94,2.69,3.25,0.61,0
3.88,4.0,4.0,3.75,4.12,1.5,2.38,1.25,3.25,4.12,3.12,3.0,3.0,3.5,2.75,4.0,3.12,2.88,2.38,2.75,3.75,1.62,2.75,4.0,1.38,3.75,3.88,3.88,4.0,2.88,2.75,2.0,3.88,2.0,3.25,0.0,2
2.75,3.0,3.25,3.12,3.5,2.0,2.25,1.0,2.62,3.25,2.62,1.62,2.25,2.88,3.0,3.0,2.62,2.88,1.75,3.12,2.62,1.0,2.75,3.0,2.25,1.62,2.62,2.62,3.0,2.62,2.25,1.88,3.25,2.25,2.62,0.89,1
2.5,3.12,3.0,3.0,3.12,2.12,2.12,1.62,2.62,3.0,2.5,1.25,1.38,2.12,1.5,3.5,2.25,3.12,1.88,3.62,2.5,1.25,3.12,3.12,2.12,1.75,2.62,3.0,3.0,2.25,2.0,1.5,2.88,2.25,2.88,0.91,1
3.12,3.88,3.0,2.88,3.75,1.0,1.88,1.0,2.75,3.12,2.88,1.88,1.88,2.38,2.12,3.0,2.62,2.25,2.12,2.0,2.88,2.12,1.75,3.75,1.0,1.12,2.75,2.88,3.25,2.88,2.75,1.88,3.0,1.12,3.12,0.02,3
2.88,3.0,3.0,2.75,3.0,2.88,2.75,1.0,2.62,2.75,2.25,1.75,2.0,2.62,2.5,3.62,2.12,3.75,1.75,3.88,2.25,1.0,3.0,3.0,2.75,2.0,2.12,2.88,3.0,2.38,2.62,1.25,2.88,2.88,2.75,0.88,1
3.38,4.0,3.62,3.88,3.88,1.62,1.75,1.0,3.0,3.62,2.38,3.0,2.88,3.25,2.5,3.5,3.38,2.0,2.75,2.0,3.5,1.38,2.25,4.0,1.75,1.25,3.88,3.88,4.0,3.25,3.12,1.75,3.75,1.75,3.5,0.04,2
2.5,2.88,2.75,2.12,3.0,3.0,2.88,1.88,1.88,2.88,2.25,1.62,1.75,1.88,2.38,3.12,1.88,3.5,1.88,3.62,1.88,1.75,3.25,2.75,2.88,1.5,1.88,2.25,3.0,1.75,2.0,1.88,2.75,3.0,1.88,0.97,1
2.62,2.88,2.88,3.0,3.0,3.0,2.62,1.5,2.12,2.75,2.12,1.62,1.88,2.25,2.62,3.25,2.0,3.62,1.62,3.75,2.0,1.88,3.5,3.12,2.75,1.5,2.0,2.75,2.62,2.62,2.25,1.75,2.75,3.0,2.38,0.86,1
3.25,4.0,3.88,3.12,3.88,1.88,1.88,1.0,3.0,3.88,2.88,2.25,2.0,3.0,3.75,3.25,2.75,2.62,3.0,3.12,2.88,2.0,2.5,4.0,1.88,3.38,2.75,3.12,4.0,3.75,3.88,2.75,3.0,2.12,4.0,0.49,0
