SOC2018_Code,SOC2018_Occupation_Title,Automation_Probability,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-3121,Human Resources Managers,0.01,4.0,4.38,4.0,4.12,4.0,1.0,1.0,1.0,3.88,4.0,3.75,3.12,2.38,4.25,3.0,4.0,3.88,1.25,2.38,1.5,3.75,2.0,1.62,4.25,1.0,1.5,3.75,4.0,4.25,3.62,3.88,1.5,4.0,1.0,4.12
11-3131,Training and Development Managers,0.01,3.75,4.0,3.62,3.88,3.75,1.0,1.0,1.0,4.0,3.62,4.25,3.62,2.88,3.5,2.88,3.88,3.0,1.0,3.0,1.75,3.62,1.5,2.0,4.0,1.0,1.5,3.62,3.88,4.0,3.12,3.25,1.75,3.5,1.0,3.88
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.05,3.38,3.88,3.62,3.5,3.88,2.5,2.38,1.0,2.88,3.5,2.88,3.0,2.88,3.62,2.88,3.38,3.12,2.62,2.12,3.12,3.12,1.88,2.88,3.75,2.38,2.62,2.88,3.38,3.62,3.0,3.0,1.88,3.38,2.5,3.25
11-9021,Construction Managers,0.07,3.88,4.0,4.0,4.0,4.0,1.62,1.62,1.0,3.12,4.12,3.12,3.62,3.38,4.12,3.5,3.88,3.88,2.0,3.0,2.75,3.12,1.5,3.25,3.88,1.62,2.12,3.12,3.5,3.88,3.62,3.5,1.75,4.0,2.25,3.75
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.02,3.5,4.0,3.88,4.0,4.0,1.0,1.0,1.0,3.88,3.88,3.62,3.12,3.12,3.75,2.88,4.0,3.62,1.5,1.88,1.75,3.38,1.5,2.0,4.0,1.0,1.5,3.88,3.88,4.0,3.12,3.12,1.62,3.75,1.88,3.75
11-9032,"Education Administrators, Kindergarten through Secondary",0.0,4.0,4.75,4.12,4.0,4.5,1.0,1.12,1.0,4.0,4.62,4.62,3.62,3.25,4.12,3.0,4.25,4.0,1.38,2.75,2.0,3.75,1.62,3.0,4.5,1.0,1.88,3.88,4.25,4.88,3.75,4.12,1.75,3.88,1.62,4.5
11-9033,"Education Administrators, Postsecondary",0.01,3.88,4.0,3.88,3.62,4.12,1.0,1.0,1.0,4.0,3.88,3.75,3.12,2.88,3.75,2.88,4.0,3.62,1.0,1.62,2.0,3.62,1.38,1.38,4.12,1.0,1.5,3.5,3.75,4.0,3.25,3.25,1.62,4.0,1.0,4.0
11-9041,Architectural and Engineering Managers,0.02,3.56,3.75,3.81,3.5,3.75,1.44,1.62,1.06,3.12,3.75,3.06,2.44,2.44,3.18,3.5,3.5,3.0,1.88,2.38,2.75,3.06,1.94,3.06,3.87,1.38,2.87,3.06,3.19,3.81,3.37,3.25,2.0,3.56,2.0,3.81
11-9051,Food Service Managers,0.08,3.12,3.88,3.0,3.88,3.62,1.88,1.75,1.0,3.12,3.12,3.12,3.0,3.0,3.88,2.88,3.88,3.12,2.0,2.5,2.62,3.0,1.5,2.88,3.75,1.75,1.62,3.75,3.62,3.88,3.0,3.0,1.25,3.5,2.0,3.0
11-9071,Gambling Managers,0.09,3.5,3.75,3.75,3.75,4.0,1.0,1.0,1.0,3.5,3.75,3.25,2.62,2.75,4.0,3.12,3.88,3.25,1.38,2.0,2.12,3.5,1.75,2.62,3.5,1.0,1.62,3.75,3.75,3.88,3.12,3.12,1.5,3.75,1.75,3.62
11-9072,"Entertainment and Recreation Managers, Except Gambling",0.25,3.38,3.88,3.25,3.75,3.75,1.0,1.0,1.0,3.5,3.62,3.12,2.88,2.75,3.12,2.38,3.5,3.12,1.62,1.88,2.12,3.12,1.25,2.0,3.75,1.0,1.25,3.75,3.75,3.88,2.75,3.12,1.38,3.5,1.5,3.62
11-9081,Lodging Managers,0.0,3.75,4.12,3.75,3.88,3.75,1.38,1.38,1.0,3.75,3.75,3.38,2.88,3.0,4.0,2.62,3.75,3.88,2.12,1.75,2.38,3.75,1.62,2.62,3.88,1.38,1.0,4.12,4.0,4.0,3.12,3.38,1.88,3.75,1.88,3.88
11-9111,Medical and Health Services Managers,0.01,3.88,4.0,4.0,3.88,4.12,1.0,1.0,1.0,3.88,4.0,3.25,3.25,3.25,4.0,2.75,4.0,3.88,1.0,3.62,2.0,3.88,2.0,2.12,4.0,1.0,2.5,3.75,4.0,4.12,3.62,3.75,2.0,4.0,1.62,4.0
11-9121,Natural Sciences Managers,0.02,3.38,4.0,3.75,3.5,3.92,1.0,1.08,1.0,3.12,3.75,3.25,2.37,2.54,3.29,3.08,3.62,3.0,1.75,2.58,2.25,3.12,1.79,2.29,4.0,1.0,3.37,3.0,3.33,3.92,3.25,3.21,2.04,3.5,1.75,3.96
11-9131,Postmasters and Mail Superintendents,0.75,3.25,4.0,3.12,4.0,3.75,1.0,1.0,1.0,3.25,3.25,3.38,2.75,2.75,3.88,2.75,3.75,3.62,1.62,2.5,2.5,3.25,1.75,2.25,4.0,1.0,1.5,3.38,4.0,4.0,3.0,2.88,1.88,4.0,2.0,3.25
11-9141,"Property, Real Estate, and Community Association Managers",0.81,3.0,3.75,3.12,3.62,3.5,1.0,1.12,1.0,2.75,3.12,2.75,3.0,2.88,3.12,3.0,3.12,3.5,1.5,2.12,1.75,3.25,1.5,2.0,3.88,1.0,1.38,3.0,3.25,4.0,2.12,2.12,1.25,3.0,1.62,3.62
11-9151,Social and Community Service Managers,0.01,3.88,3.88,3.88,3.88,3.88,1.0,1.0,1.0,3.5,3.88,3.62,2.62,2.38,3.88,2.62,3.88,3.25,2.0,2.62,2.12,3.25,1.75,2.0,3.75,1.0,2.25,4.0,4.0,3.75,3.75,3.75,1.88,3.88,1.5,3.75
11-9161,Emergency Management Directors,0.0,3.75,4.0,4.12,4.0,4.0,1.0,1.0,1.0,3.75,4.0,3.88,2.62,2.75,3.5,3.0,4.0,3.38,1.75,3.12,2.12,3.62,1.5,2.25,4.0,1.0,1.88,4.25,4.0,4.12,3.62,3.5,1.5,3.75,1.5,4.0
11-9179,"Personal Service Managers, All Other",0.25,3.44,3.75,3.25,3.88,3.75,1.25,1.63,1.0,3.44,3.5,3.38,2.94,2.94,3.69,2.44,3.69,3.12,1.81,1.81,2.18,3.38,1.44,2.38,3.5,1.06,1.43,3.82,3.82,3.94,3.25,3.18,1.94,3.44,1.88,3.31
11-9199,"Managers, All Other",0.25,3.44,3.92,3.6,3.68,3.94,1.21,1.33,1.0,3.25,3.69,3.04,2.56,2.48,3.21,2.81,3.77,3.27,1.81,2.33,2.42,3.39,1.75,2.33,3.98,1.19,1.92,3.02,3.48,3.94,3.36,3.37,1.77,3.44,1.75,3.9
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.24,3.5,4.0,3.38,3.75,3.75,1.0,1.0,1.0,2.88,3.12,2.62,1.88,1.5,2.88,2.12,2.88,4.0,1.25,1.75,1.25,4.0,1.5,1.0,4.0,1.0,1.62,3.0,3.88,4.0,2.5,2.5,1.38,3.75,1.0,3.62
13-1021,"Buyers and Purchasing Agents, Farm Products",0.87,3.12,3.75,3.25,3.12,3.88,1.0,1.0,1.0,2.5,3.38,2.5,2.75,2.88,3.0,3.0,3.12,3.38,1.88,1.88,2.25,3.38,1.5,2.25,3.38,1.12,1.62,3.0,3.12,3.88,3.0,2.62,1.75,3.12,1.62,3.12
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.29,3.38,3.75,3.25,3.12,3.75,1.0,1.0,1.0,3.0,3.38,2.88,3.25,2.88,2.75,3.12,3.12,4.0,1.38,2.12,1.75,3.75,1.75,2.25,3.25,1.0,1.75,3.12,3.25,3.75,2.62,3.0,1.62,3.0,1.0,3.0
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.77,3.88,4.0,4.0,3.0,3.88,1.0,1.0,1.0,3.25,3.88,3.0,3.75,3.25,3.12,3.0,3.75,4.25,1.0,2.5,2.0,3.75,1.5,2.38,4.12,1.0,1.12,3.12,3.25,4.0,2.88,3.0,1.75,3.25,1.62,4.0
13-1031,"Claims Adjusters, Examiners, and Investigators",0.98,3.25,4.0,3.5,3.25,4.0,1.0,1.12,1.0,2.5,3.75,2.5,2.12,1.75,2.75,2.88,3.38,3.12,1.12,1.5,1.88,2.88,2.12,2.62,4.12,1.0,1.38,3.12,3.38,3.88,3.0,2.88,1.75,3.0,1.62,3.62
13-1032,"Insurance Appraisers, Auto Damage",0.98,2.88,3.5,2.88,2.88,3.38,1.5,1.5,1.0,2.25,3.12,2.12,2.0,1.5,2.38,2.62,2.5,2.88,2.0,1.88,2.38,2.88,1.25,2.38,3.5,1.62,1.12,3.0,3.0,3.75,2.38,2.38,1.38,3.25,2.12,3.75
13-1041,Compliance Officers,0.08,3.41,3.98,3.59,3.21,3.89,1.02,1.12,1.0,2.98,3.61,3.02,1.84,1.91,2.68,2.66,3.38,2.96,1.71,1.89,2.3,2.96,1.73,2.25,3.98,1.0,1.95,3.09,3.45,3.95,3.12,3.0,1.66,3.16,1.41,3.84
13-1051,Cost Estimators,0.57,3.25,3.75,3.38,3.12,3.75,1.0,1.12,1.0,2.75,3.62,2.88,3.12,2.75,2.5,4.0,3.0,3.0,1.0,2.5,1.5,3.0,1.5,1.38,4.0,1.0,1.38,2.75,3.12,3.88,3.0,3.0,1.5,3.0,1.0,3.5
13-1074,Farm Labor Contractors,0.97,2.38,3.38,2.75,3.0,3.0,1.0,1.12,1.0,2.62,3.0,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,1.25,2.38,2.62,1.38,1.75,2.75,1.0,1.25,2.62,3.0,3.5,2.12,1.88,1.0,3.12,1.75,2.75
13-1081,Logisticians,0.01,3.54,3.92,3.92,3.38,3.96,1.04,1.29,1.0,3.0,3.75,2.96,2.71,2.75,3.08,3.33,3.67,3.0,1.29,3.0,2.21,3.04,2.21,2.42,3.96,1.04,2.04,3.08,3.21,3.84,3.96,3.71,2.08,3.5,1.54,3.63
13-1111,Management Analysts,0.13,3.25,4.12,4.0,3.88,4.12,1.0,1.12,1.0,3.25,4.0,3.0,2.25,2.25,3.0,3.0,3.88,3.12,1.38,3.0,1.75,3.5,1.88,1.75,4.12,1.0,1.88,3.25,3.88,4.0,3.75,3.88,2.12,3.25,1.25,4.0
13-1121,"Meeting, Convention, and Event Planners",0.04,3.38,4.0,3.62,3.88,3.88,1.62,1.75,1.0,3.0,3.62,2.38,3.0,2.88,3.25,2.5,3.5,3.38,2.0,2.75,2.0,3.5,1.38,2.25,4.0,1.75,1.25,3.88,3.88,4.0,3.25,3.12,1.75,3.75,1.75,3.5
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.47,3.38,3.88,3.12,3.0,3.75,1.0,1.0,1.0,2.88,3.12,2.88,2.0,1.75,2.88,3.12,3.12,3.0,1.0,2.5,1.5,3.0,1.62,1.38,3.88,1.0,1.88,3.0,3.0,3.88,3.12,3.12,1.5,3.0,1.0,3.38
13-1151,Training and Development Specialists,0.01,3.88,4.0,3.25,3.75,3.88,1.0,1.12,1.0,4.38,3.88,4.12,2.25,2.25,3.12,2.38,3.88,3.12,1.12,3.12,2.0,3.12,1.5,1.88,3.88,1.0,1.62,3.62,4.0,4.38,3.12,3.38,1.88,3.62,1.0,3.88
13-1161,Market Research Analysts and Marketing Specialists,0.61,3.62,3.82,3.88,3.12,3.88,1.0,1.0,1.0,2.94,3.68,2.94,1.94,1.88,2.68,3.0,3.32,2.81,1.0,2.5,2.0,3.18,2.44,1.75,3.94,1.0,1.75,2.94,3.06,3.75,3.25,3.25,2.0,3.06,1.06,3.75
13-1199,"Business Operations Specialists, All Other",0.23,3.34,3.9,3.62,3.44,3.88,1.1,1.34,1.22,2.97,3.72,2.94,2.5,2.41,2.9,2.82,3.46,3.09,1.4,2.56,2.16,3.25,2.03,2.25,3.88,1.16,1.5,3.19,3.28,3.88,3.34,3.37,1.88,3.13,1.56,3.75
13-2011,Accountants and Auditors,0.94,3.12,3.75,3.38,3.25,3.75,1.0,1.25,1.12,2.75,3.5,2.75,2.25,1.88,2.75,3.25,3.38,2.88,1.38,1.62,1.75,3.0,2.0,1.88,3.88,1.0,1.25,3.12,3.12,3.75,2.88,2.88,1.75,3.12,1.0,3.5
13-2022,Appraisers of Personal and Business Property,0.9,3.12,3.38,3.0,2.75,3.62,1.12,1.0,1.0,2.25,3.0,2.5,1.88,2.0,2.12,2.88,2.88,2.88,1.25,1.5,1.88,2.88,1.62,2.12,3.88,1.12,1.38,2.88,2.88,3.38,2.5,2.5,1.25,3.0,1.62,3.5
13-2023,Appraisers and Assessors of Real Estate,0.9,2.75,3.5,3.12,2.88,3.5,1.12,1.12,1.0,2.5,3.0,2.38,1.62,1.62,2.0,2.62,2.88,2.62,1.88,1.75,1.88,2.75,1.62,2.12,3.62,1.12,1.12,2.75,2.75,3.38,2.5,2.5,1.38,2.75,1.62,3.38
13-2031,Budget Analysts,0.94,3.25,3.75,3.75,2.88,3.88,1.0,1.0,1.0,2.62,3.75,2.5,3.38,2.0,2.38,3.88,3.12,2.62,1.0,2.25,1.88,2.62,1.75,1.12,3.75,1.0,1.25,2.5,3.0,3.75,3.12,3.0,1.75,3.0,1.0,3.12
13-2041,Credit Analysts,0.98,3.62,3.5,3.0,2.62,3.88,1.0,1.0,1.0,2.12,3.12,2.38,2.0,1.75,2.0,3.38,3.0,2.38,1.25,2.5,1.75,2.38,1.62,1.62,3.62,1.0,1.38,3.0,3.0,3.62,2.75,2.75,1.0,3.0,1.0,3.12
13-2052,Personal Financial Advisors,0.58,3.25,4.12,3.62,3.0,3.75,1.0,1.0,1.0,3.0,3.62,3.0,2.88,1.88,2.12,3.62,3.12,3.0,1.0,2.5,1.62,3.38,1.62,1.75,4.12,1.0,1.38,3.62,3.62,4.0,3.38,3.38,1.5,3.0,1.0,3.88
13-2053,Insurance Underwriters,0.99,3.12,3.75,3.12,3.0,3.75,1.0,1.0,1.0,2.75,3.5,2.75,2.0,2.0,2.38,2.88,3.0,2.75,1.0,1.88,1.88,2.88,1.5,1.12,3.75,1.0,1.38,3.0,3.0,3.62,2.75,2.75,1.62,2.88,1.0,3.75
13-2061,Financial Examiners,0.17,3.62,4.0,3.88,3.62,4.12,1.0,1.0,1.0,3.38,3.88,3.38,1.75,1.62,3.5,3.62,3.88,2.88,1.25,2.88,1.75,2.88,1.62,2.0,4.12,1.0,1.25,3.0,3.62,4.0,3.62,3.62,1.38,3.5,1.0,4.0
13-2071,Credit Counselors,0.04,3.62,3.88,3.5,3.12,3.75,1.0,1.0,1.0,2.88,3.5,3.12,1.62,1.12,2.12,3.12,3.0,3.25,1.0,1.88,1.0,3.38,1.5,1.25,3.88,1.0,1.0,3.62,3.12,4.0,2.88,3.0,1.75,3.12,1.0,3.75
13-2072,Loan Officers,0.98,3.12,4.0,3.25,2.88,3.75,1.0,1.0,1.0,2.88,3.88,2.75,2.12,2.0,2.62,3.25,2.88,2.88,1.25,1.75,1.88,2.88,1.62,1.5,3.88,1.0,1.0,3.0,3.25,4.0,2.62,2.25,1.88,3.12,1.0,3.38
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.93,3.25,4.0,3.0,3.0,3.88,1.0,1.0,1.12,2.88,3.12,2.88,1.88,1.62,2.25,3.25,3.25,3.0,1.38,1.75,1.75,2.88,1.62,2.0,4.0,1.0,1.0,2.88,3.0,4.0,2.5,2.5,1.5,3.0,1.0,3.25
13-2082,Tax Preparers,0.99,3.12,3.88,2.88,2.75,3.5,1.0,1.0,1.0,2.75,3.0,2.75,1.75,1.5,2.0,3.0,3.0,2.5,1.0,1.75,1.12,2.62,1.5,1.62,4.0,1.0,1.0,3.0,2.88,3.12,2.38,2.0,1.38,3.12,1.0,3.0
13-2099,"Financial Specialists, All Other",0.33,3.75,3.94,3.94,3.31,4.06,1.0,1.0,1.0,3.0,3.82,2.94,2.44,2.0,2.81,3.69,3.06,3.0,1.31,1.62,1.94,3.18,2.18,1.38,4.0,1.0,1.44,2.94,3.19,3.88,3.0,2.94,1.63,3.06,1.06,3.81
15-1211,Computer Systems Analysts,0.01,3.68,3.88,3.75,3.31,3.88,1.44,2.0,1.5,3.13,3.75,3.44,2.12,2.0,3.0,3.0,3.5,2.75,2.06,2.88,2.75,2.88,3.06,2.88,4.13,1.44,2.18,3.06,3.12,4.0,3.75,3.75,2.82,3.25,2.62,3.69
15-1221,Computer and Information Research Scientists,0.02,3.5,3.75,4.0,3.0,4.0,1.12,1.88,1.0,3.0,4.0,3.0,2.5,2.25,2.88,3.38,3.12,2.5,2.0,3.12,2.62,2.75,3.62,2.38,3.75,1.12,3.12,2.75,3.0,3.5,3.75,3.62,3.12,3.38,2.38,3.38
15-1242,Database Administrators,0.03,3.5,3.75,3.88,3.0,3.88,1.0,1.5,1.38,3.0,3.75,3.0,1.75,1.88,2.75,3.0,3.25,2.0,1.5,3.12,2.75,2.62,3.38,2.5,3.75,1.12,2.0,2.88,2.88,3.38,3.12,3.12,2.38,2.88,2.5,3.25
15-1244,Network and Computer Systems Administrators,0.03,3.12,3.75,3.75,3.0,3.88,3.0,2.88,2.38,2.88,3.88,2.75,2.0,2.75,3.0,3.0,3.75,2.5,3.0,3.12,3.38,2.75,3.62,3.25,3.88,3.0,2.25,3.0,3.0,3.38,3.88,3.75,2.75,3.12,3.75,3.12
15-1251,Computer Programmers,0.48,3.12,3.75,3.75,3.0,3.75,1.0,1.0,1.25,2.5,3.25,2.38,2.0,2.0,2.62,3.12,3.0,2.12,1.12,3.12,2.25,2.62,4.75,3.5,3.38,1.0,2.75,2.25,3.12,3.12,3.38,3.12,2.75,3.12,2.25,3.25
15-2011,Actuaries,0.21,3.25,4.0,4.0,3.0,4.25,1.0,1.0,1.0,2.75,4.25,2.88,2.62,2.0,2.88,4.25,3.12,2.75,1.0,3.0,2.0,2.88,2.12,1.88,4.25,1.0,2.0,3.0,3.0,3.88,3.88,4.0,1.88,3.0,1.0,3.5
15-2021,Mathematicians,0.05,4.0,3.38,4.0,2.88,4.12,1.0,1.0,1.0,3.0,3.75,3.25,1.62,1.62,2.0,5.0,3.0,2.0,1.0,2.5,1.38,2.75,2.5,1.5,4.0,1.0,3.62,2.0,2.88,3.25,3.0,3.0,1.62,2.75,1.0,3.62
15-2031,Operations Research Analysts,0.04,3.88,4.0,4.12,3.12,4.0,1.0,1.0,1.0,3.0,3.88,3.0,1.88,1.88,2.62,4.5,2.88,2.12,1.12,3.75,1.88,2.88,2.62,1.88,4.0,1.0,3.25,2.75,2.88,4.0,3.88,3.88,1.75,3.12,1.25,4.0
15-2041,Statisticians,0.22,3.88,3.88,3.94,2.94,4.0,1.0,1.25,1.0,3.0,3.69,3.25,1.82,1.75,2.5,4.75,3.0,2.0,1.06,2.94,1.75,2.62,3.19,1.88,4.0,1.0,3.75,2.5,2.82,3.94,3.06,3.06,1.62,3.0,1.0,3.82
17-1011,"Architects, Except Landscape and Naval",0.02,3.62,3.88,3.75,3.5,4.0,1.0,1.25,1.0,3.0,3.75,3.25,2.75,2.75,3.0,3.5,3.75,3.12,1.88,4.0,2.25,3.12,1.88,3.12,4.0,1.0,2.88,2.88,3.25,4.0,3.5,3.38,2.0,3.0,1.88,3.88
17-1012,Landscape Architects,0.04,3.5,4.12,3.88,3.75,3.88,1.0,1.0,1.0,3.0,3.75,2.88,2.88,2.88,3.0,3.12,3.12,3.12,2.0,3.75,2.0,3.12,1.5,2.5,4.12,1.0,2.75,3.25,3.62,4.12,3.12,3.12,1.75,3.5,1.75,3.62
17-1021,Cartographers and Photogrammetrists,0.88,3.25,3.38,3.12,3.0,3.5,1.38,1.5,1.0,2.75,3.12,2.88,1.62,1.62,2.25,2.88,3.12,2.38,1.38,1.62,1.88,2.38,1.88,2.12,4.0,1.25,1.88,2.75,3.0,3.12,2.88,2.75,1.62,3.0,1.75,3.5
17-1022,Surveyors,0.38,3.32,3.69,3.44,3.25,3.82,1.88,2.06,1.0,3.0,3.44,3.06,1.75,1.82,2.82,4.06,3.19,2.25,2.75,1.88,2.75,2.38,1.88,2.69,3.94,1.88,2.87,2.75,2.88,3.5,3.06,2.94,1.68,3.0,1.88,3.68
17-2011,Aerospace Engineers,0.02,3.62,3.88,3.88,3.25,4.12,1.0,1.25,1.0,3.0,3.75,3.38,1.88,1.75,2.75,3.88,3.75,3.0,1.25,3.88,2.88,3.12,2.12,3.25,4.0,1.0,4.0,2.88,3.0,3.88,3.38,3.5,3.25,3.25,2.0,3.88
17-2021,Agricultural Engineers,0.49,3.25,4.0,3.88,3.12,3.88,1.88,1.88,1.0,3.0,3.88,2.88,2.25,2.0,3.0,3.75,3.25,2.75,2.62,3.0,3.12,2.88,2.0,2.5,4.0,1.88,3.38,2.75,3.12,4.0,3.75,3.88,2.75,3.0,2.12,4.0
17-2031,Bioengineers and Biomedical Engineers,0.04,3.75,4.0,3.88,3.0,3.88,2.12,2.75,2.25,3.12,3.88,3.25,2.12,2.25,3.0,3.88,3.75,2.88,2.0,3.75,2.88,2.75,3.12,3.12,4.0,2.5,3.88,2.88,3.0,4.0,3.62,3.5,3.38,3.12,2.88,4.0
17-2041,Chemical Engineers,0.02,3.88,3.25,4.0,3.0,4.12,1.0,1.88,1.0,3.0,3.88,2.88,2.38,2.5,2.75,3.75,3.12,2.88,2.0,3.62,3.0,2.88,2.25,3.0,4.0,1.0,4.12,2.75,3.0,3.5,3.88,3.88,2.88,3.0,2.88,3.12
17-2051,Civil Engineers,0.02,3.25,3.88,3.88,3.29,3.96,1.17,1.33,1.0,3.04,3.75,3.04,2.63,2.63,3.17,3.88,3.37,3.04,1.83,3.42,2.33,3.04,1.96,2.5,3.96,1.21,3.42,3.0,2.96,3.88,3.79,3.58,2.63,3.79,1.87,3.75
17-2061,Computer Hardware Engineers,0.22,3.75,3.88,3.88,3.12,4.0,2.12,2.5,1.88,3.0,3.62,2.88,1.75,1.88,2.62,3.25,3.12,2.25,1.75,3.38,3.0,2.62,2.5,2.88,4.0,2.12,2.88,2.62,2.75,3.88,3.38,3.38,2.62,3.12,2.62,3.88
17-2071,Electrical Engineers,0.1,3.88,3.88,3.88,3.25,4.0,2.0,2.12,1.0,3.0,3.25,3.0,2.38,2.25,3.0,3.38,3.5,2.75,1.38,3.12,2.88,2.88,2.12,3.0,4.0,2.0,3.0,2.75,3.0,3.88,3.25,3.25,2.25,3.0,2.75,4.12
